IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.116.249.182,443,443,true,FRA,Europe,Frankfurt,299,5.63
34.118.92.152,443,443,true,FRA,Europe,Frankfurt,268,5.63
34.91.58.126,443,443,true,FRA,Europe,Frankfurt,260,5.62
34.90.182.66,443,443,true,FRA,Europe,Frankfurt,259,5.62
34.116.222.142,443,443,true,FRA,Europe,Frankfurt,281,5.62
34.32.165.245,443,443,true,FRA,Europe,Frankfurt,260,5.61
34.91.180.136,443,443,true,FRA,Europe,Frankfurt,208,5.61
35.200.238.235,443,443,true,BOM,Asia Pacific,Mumbai,151,5.61
34.159.117.170,443,443,true,FRA,Europe,Frankfurt,265,5.60
34.116.132.221,443,443,true,FRA,Europe,Frankfurt,267,5.60
34.118.13.78,443,443,true,FRA,Europe,Frankfurt,204,5.60
34.116.170.70,443,443,true,FRA,Europe,Frankfurt,246,5.59
34.32.233.205,443,443,true,FRA,Europe,Frankfurt,262,5.59
34.147.66.152,443,443,true,FRA,Europe,Frankfurt,269,5.58
34.118.91.197,443,443,true,FRA,Europe,Frankfurt,288,5.58
34.32.165.245,443,443,true,FRA,Europe,Frankfurt,205,5.57
34.91.27.34,443,443,true,FRA,Europe,Frankfurt,258,5.57
34.118.85.198,443,443,true,FRA,Europe,Frankfurt,269,5.56
34.91.240.66,443,443,true,FRA,Europe,Frankfurt,259,5.55
34.116.235.143,443,443,true,FRA,Europe,Frankfurt,214,5.55
34.116.233.92,443,443,true,FRA,Europe,Frankfurt,208,5.54
34.147.91.221,443,443,true,FRA,Europe,Frankfurt,259,5.54
34.118.80.20,443,443,true,FRA,Europe,Frankfurt,271,5.53
34.118.80.175,443,443,true,FRA,Europe,Frankfurt,270,5.52
34.118.127.239,443,443,true,FRA,Europe,Frankfurt,282,5.52
34.116.140.46,443,443,true,FRA,Europe,Frankfurt,348,5.51
34.90.210.245,443,443,true,FRA,Europe,Frankfurt,197,5.51
34.141.133.128,443,443,true,FRA,Europe,Frankfurt,259,5.51
34.91.55.68,443,443,true,FRA,Europe,Frankfurt,269,5.51
34.91.175.12,443,443,true,FRA,Europe,Frankfurt,261,5.49
34.118.57.162,443,443,true,FRA,Europe,Frankfurt,282,5.49
34.116.237.149,443,443,true,FRA,Europe,Frankfurt,230,5.49
34.116.128.178,443,443,true,FRA,Europe,Frankfurt,308,5.49
34.118.80.175,443,443,true,FRA,Europe,Frankfurt,280,5.49
34.116.182.166,443,443,true,FRA,Europe,Frankfurt,220,5.48
34.116.200.90,443,443,true,FRA,Europe,Frankfurt,226,5.48
34.116.149.118,443,443,true,FRA,Europe,Frankfurt,271,5.48
34.118.69.246,443,443,true,FRA,Europe,Frankfurt,371,5.48
34.118.80.20,443,443,true,FRA,Europe,Frankfurt,286,5.46
34.90.89.224,443,443,true,FRA,Europe,Frankfurt,259,5.46
34.118.45.49,443,443,true,FRA,Europe,Frankfurt,268,5.46
34.116.132.221,443,443,true,FRA,Europe,Frankfurt,299,5.43
34.91.199.198,443,443,true,FRA,Europe,Frankfurt,269,5.43
34.116.249.141,443,443,true,FRA,Europe,Frankfurt,280,5.42
34.116.214.69,443,443,true,FRA,Europe,Frankfurt,281,5.42
34.116.152.58,443,443,true,FRA,Europe,Frankfurt,270,5.42
34.91.55.68,443,443,true,FRA,Europe,Frankfurt,259,5.40
34.91.27.34,443,443,true,FRA,Europe,Frankfurt,258,5.39
34.118.108.19,443,443,true,FRA,Europe,Frankfurt,280,5.39
34.105.189.25,443,443,true,LHR,Europe,London,259,5.39
34.116.170.70,443,443,true,FRA,Europe,Frankfurt,281,5.39
34.118.49.115,443,443,true,FRA,Europe,Frankfurt,344,5.38
34.89.241.35,443,443,true,FRA,Europe,Frankfurt,327,5.37
34.116.199.155,443,443,true,FRA,Europe,Frankfurt,280,5.36
34.89.252.171,443,443,true,FRA,Europe,Frankfurt,198,5.36
34.116.214.69,443,443,true,FRA,Europe,Frankfurt,321,5.34
34.118.85.198,443,443,true,FRA,Europe,Frankfurt,271,5.34
34.118.123.100,443,443,true,FRA,Europe,Frankfurt,269,5.33
34.118.107.144,443,443,true,FRA,Europe,Frankfurt,280,5.33
34.116.249.182,443,443,true,FRA,Europe,Frankfurt,269,5.32
34.118.69.246,443,443,true,FRA,Europe,Frankfurt,290,5.31
34.116.249.186,443,443,true,FRA,Europe,Frankfurt,272,5.28
34.116.235.143,443,443,true,FRA,Europe,Frankfurt,258,5.27
34.118.30.13,443,443,true,FRA,Europe,Frankfurt,283,5.23
34.32.250.210,443,443,true,FRA,Europe,Frankfurt,324,5.23
34.118.5.47,443,443,true,FRA,Europe,Frankfurt,204,5.20
34.118.67.168,443,443,true,FRA,Europe,Frankfurt,243,5.14
34.118.118.64,443,443,true,FRA,Europe,Frankfurt,219,5.12
34.116.193.101,443,443,true,FRA,Europe,Frankfurt,204,5.11
34.116.147.108,443,443,true,FRA,Europe,Frankfurt,264,5.10
34.118.12.209,443,443,true,FRA,Europe,Frankfurt,217,5.10
34.116.153.230,443,443,true,FRA,Europe,Frankfurt,287,5.10
34.118.9.27,443,443,true,FRA,Europe,Frankfurt,204,5.09
34.118.25.142,443,443,true,FRA,Europe,Frankfurt,202,5.08
34.65.184.187,443,443,true,FRA,Europe,Frankfurt,186,5.05
34.116.238.23,443,443,true,FRA,Europe,Frankfurt,269,5.03
34.116.200.216,443,443,true,FRA,Europe,Frankfurt,268,5.02
34.118.46.206,443,443,true,FRA,Europe,Frankfurt,203,5.01
34.118.91.197,443,443,true,FRA,Europe,Frankfurt,270,5.01
34.118.25.142,443,443,true,FRA,Europe,Frankfurt,381,5.01
34.118.100.37,443,443,true,FRA,Europe,Frankfurt,281,5.00
34.116.214.20,443,443,true,FRA,Europe,Frankfurt,282,4.99
34.116.131.175,443,443,true,FRA,Europe,Frankfurt,201,4.98
34.118.48.148,443,443,true,FRA,Europe,Frankfurt,260,4.98
34.116.249.141,443,443,true,FRA,Europe,Frankfurt,264,4.98
34.116.217.39,443,443,true,FRA,Europe,Frankfurt,281,4.96
34.118.123.8,443,443,true,FRA,Europe,Frankfurt,224,4.93
34.116.189.137,443,443,true,FRA,Europe,Frankfurt,214,4.93
34.116.152.58,443,443,true,FRA,Europe,Frankfurt,289,4.92
34.116.131.175,443,443,true,FRA,Europe,Frankfurt,265,4.92
34.118.20.118,443,443,true,FRA,Europe,Frankfurt,268,4.92
34.118.112.88,443,443,true,FRA,Europe,Frankfurt,204,4.91
34.118.23.146,443,443,true,FRA,Europe,Frankfurt,214,4.90
34.116.161.91,443,443,true,FRA,Europe,Frankfurt,303,4.88
34.118.12.209,443,443,true,FRA,Europe,Frankfurt,319,4.87
34.118.45.49,443,443,true,FRA,Europe,Frankfurt,274,4.82
34.116.222.44,443,443,true,FRA,Europe,Frankfurt,288,4.81
34.118.5.47,443,443,true,FRA,Europe,Frankfurt,260,4.76
34.118.22.25,443,443,true,FRA,Europe,Frankfurt,335,4.68
34.118.112.88,443,443,true,FRA,Europe,Frankfurt,214,4.64
34.116.235.43,443,443,true,FRA,Europe,Frankfurt,281,4.60
34.118.108.19,443,443,true,FRA,Europe,Frankfurt,269,4.50
34.118.31.189,443,443,true,FRA,Europe,Frankfurt,254,4.38
34.118.60.206,443,443,true,FRA,Europe,Frankfurt,248,4.35
34.154.64.223,443,443,true,FRA,Europe,Frankfurt,196,4.06
34.118.30.13,443,443,true,FRA,Europe,Frankfurt,316,4.04
34.116.219.249,443,443,true,FRA,Europe,Frankfurt,249,4.04
34.154.51.154,443,443,true,FRA,Europe,Frankfurt,186,3.96
34.118.46.202,443,443,true,FRA,Europe,Frankfurt,245,3.92
34.154.195.165,443,443,true,FRA,Europe,Frankfurt,191,3.56
34.154.243.46,443,443,true,FRA,Europe,Frankfurt,194,3.52
34.154.30.175,443,443,true,FRA,Europe,Frankfurt,194,3.38
34.154.75.233,443,443,true,FRA,Europe,Frankfurt,196,3.28
34.154.93.171,443,443,true,FRA,Europe,Frankfurt,204,3.28
34.154.121.177,443,443,true,FRA,Europe,Frankfurt,200,3.22
34.154.237.161,443,443,true,FRA,Europe,Frankfurt,214,3.05
34.154.101.73,443,443,true,FRA,Europe,Frankfurt,209,3.03
34.154.105.151,443,443,true,FRA,Europe,Frankfurt,194,2.95
34.154.187.40,443,443,true,FRA,Europe,Frankfurt,269,2.81
34.154.204.166,443,443,true,FRA,Europe,Frankfurt,197,2.81
34.116.193.229,443,443,true,FRA,Europe,Frankfurt,251,2.73
34.154.151.129,443,443,true,FRA,Europe,Frankfurt,188,2.72
34.154.16.22,443,443,true,FRA,Europe,Frankfurt,209,2.62
34.116.132.204,443,443,true,FRA,Europe,Frankfurt,328,2.61
34.116.137.135,443,443,true,FRA,Europe,Frankfurt,257,2.54
34.116.199.155,443,443,true,FRA,Europe,Frankfurt,256,2.52
34.154.209.200,443,443,true,FRA,Europe,Frankfurt,224,2.52
34.154.229.72,443,443,true,FRA,Europe,Frankfurt,263,2.50
34.116.129.250,443,443,true,FRA,Europe,Frankfurt,234,2.50
34.116.157.238,443,443,true,FRA,Europe,Frankfurt,272,2.41
34.154.205.68,443,443,true,FRA,Europe,Frankfurt,225,2.35
34.116.202.71,443,443,true,FRA,Europe,Frankfurt,275,2.26
34.116.145.227,443,443,true,FRA,Europe,Frankfurt,319,1.86
34.118.25.92,443,443,true,FRA,Europe,Frankfurt,274,1.77
34.116.238.23,443,443,true,FRA,Europe,Frankfurt,252,1.69
34.118.9.27,443,443,true,FRA,Europe,Frankfurt,235,1.65
34.116.245.42,443,443,true,FRA,Europe,Frankfurt,249,1.56
34.116.200.216,443,443,true,FRA,Europe,Frankfurt,290,1.40
34.147.62.133,443,443,true,FRA,Europe,Frankfurt,278,0.98
34.97.64.116,8443,443,true,KIX,Asia Pacific,Osaka,115,0.87
34.97.64.116,8443,443,true,KIX,Asia Pacific,Osaka,158,0.86
34.116.157.238,443,443,true,FRA,Europe,Frankfurt,203,0.83
34.154.185.5,443,443,true,FRA,Europe,Frankfurt,282,0.80
34.97.64.116,8443,443,true,KIX,Asia Pacific,Osaka,70,0.77
35.204.114.133,443,443,true,FRA,Europe,Frankfurt,314,0.70
34.89.147.232,443,443,true,FRA,Europe,Frankfurt,315,0.67
34.86.193.161,443,443,true,IAD,North America,Ashburn,226,0.65
35.245.147.34,443,443,true,IAD,North America,Ashburn,234,0.62
34.91.196.131,443,443,true,FRA,Europe,Frankfurt,340,0.62
35.234.77.198,443,443,true,IAD,North America,Ashburn,194,0.41
